date,True,Predicted
19/01/2024,29.025,29.707054
20/01/2024,28.5,29.704456
21/01/2024,26.550000000000004,29.701551
22/01/2024,24.525,29.695852
23/01/2024,25.2,29.691057
24/01/2024,27.025,29.690989
25/01/2024,26.675,29.693874
26/01/2024,25.500000000000004,29.693848
27/01/2024,23.625,29.69173
28/01/2024,25.299999999999997,29.68883
02/02/2024,27.55,29.690271
03/02/2024,28.975,29.694227
04/02/2024,30.825000000000003,29.698612
05/02/2024,28.4,29.705807
06/02/2024,27.974999999999998,29.70088
07/02/2024,25.999999999999996,29.697866
08/02/2024,28.25,29.693092
09/02/2024,37.2,29.69649
10/02/2024,20.625,29.725718
11/02/2024,22.625,29.691612
12/02/2024,23.775,29.687647
13/02/2024,23.775,29.688425
14/02/2024,24.174999999999997,29.688475
15/02/2024,28.949999999999996,29.688814
16/02/2024,27.525,29.696924
17/02/2024,26.575000000000003,29.695911
18/02/2024,27.525,29.693468
19/02/2024,28.325,29.694674
20/02/2024,28.775,29.696835
21/02/2024,29.075000000000003,29.698683
22/02/2024,29.049999999999997,29.700203
23/02/2024,25.275,29.70069
24/02/2024,24.35,29.692554
25/02/2024,26.724999999999998,29.689728
26/02/2024,28.7,29.692766
27/02/2024,27.874999999999996,29.697824
28/02/2024,27.525000000000002,29.69736
29/02/2024,27.175,29.696283
01/03/2024,25.45,29.695204
02/03/2024,29.174999999999997,29.691847
03/03/2024,28.025,29.698587
04/03/2024,26.25,29.69788
05/03/2024,30.224999999999994,29.693705
06/03/2024,28.299999999999997,29.702185
07/03/2024,28.875,29.699886
08/03/2024,26.675,29.700405
09/03/2024,27.0,29.695383
10/03/2024,28.85,29.694693
11/03/2024,29.825,29.698885
12/03/2024,28.125,29.703325
13/03/2024,28.15,29.6999
14/03/2024,29.2,29.69868
15/03/2024,28.725,29.701313
16/03/2024,29.6,29.700994
21/03/2024,29.325,29.703398
22/03/2024,26.950000000000003,29.703566
23/03/2024,29.475,29.69719
